-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
PRECTOTCORR,1984,25.0,88.75,0.18,0.06,0.11,0.73,5.06,7.47,4.24,3.12,6.2,1.93,0.0,0.03,2.43
PRECTOTCORR,1984,25.0,89.375,0.08,0.03,0.12,0.78,7.22,9.07,5.28,3.28,7.88,2.48,0.0,0.05,3.02
PRECTOTCORR,1984,25.0,90.0,0.09,0.06,0.11,1.15,9.23,10.89,7.19,4.05,10.64,2.74,0.0,0.1,3.86
PRECTOTCORR,1984,25.0,90.625,0.14,0.12,0.11,2.03,11.16,12.52,9.9,5.23,14.04,2.76,0.0,0.17,4.85
PRECTOTCORR,1984,25.0,91.25,0.15,0.14,0.12,3.2,12.94,13.62,12.05,6.48,17.1,2.77,0.01,0.28,5.74
PRECTOTCORR,1984,25.0,91.875,0.15,0.14,0.1,3.66,12.82,13.25,12.05,6.44,16.81,2.72,0.01,0.33,5.71
PRECTOTCORR,1984,25.0,92.5,0.17,0.13,0.06,3.25,10.03,10.58,9.83,5.28,11.31,2.78,0.01,0.36,4.49
PRECTOTCORR,1984,25.0,93.125,0.21,0.17,0.04,2.09,6.66,8.31,7.14,4.06,5.45,3.3,0.01,0.33,3.15
PRECTOTCORR,1984,25.0,93.75,0.23,0.19,0.04,1.7,5.36,7.77,6.09,3.58,3.57,3.51,0.01,0.31,2.7
PRECTOTCORR,1984,25.0,94.375,0.23,0.21,0.04,1.37,4.64,7.85,5.57,3.59,2.69,3.62,0.01,0.26,2.51
PRECTOTCORR,1984,25.0,95.0,0.26,0.23,0.05,1.01,3.99,8.68,5.48,3.84,2.54,3.56,0.01,0.17,2.49
PRECTOTCORR,1984,25.0,95.625,0.3,0.18,0.04,1.02,3.22,8.63,5.25,3.33,3.33,2.6,0.01,0.09,2.34
PRECTOTCORR,1984,25.0,96.25,0.37,0.13,0.02,1.23,2.68,7.88,5.09,2.55,4.01,1.64,0.0,0.07,2.14
PRECTOTCORR,1984,25.0,96.875,0.44,0.12,0.01,1.61,2.85,8.45,5.7,2.47,4.66,1.62,0.0,0.08,2.33
PRECTOTCORR,1984,25.0,97.5,0.57,0.18,0.01,2.26,3.62,10.81,7.11,3.16,5.14,2.74,0.01,0.14,2.98
