-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MAX,1984,25.0,88.75,27.92,33.29,41.74,44.84,42.7,40.57,35.02,35.78,32.62,33.3,31.37,30.27,44.84
T2M_MAX,1984,25.0,89.375,27.32,32.44,40.61,43.88,40.54,38.29,33.41,34.1,32.37,32.75,30.01,29.5,43.88
T2M_MAX,1984,25.0,90.0,27.08,32.14,40.32,43.52,39.95,37.67,32.95,32.98,32.44,32.2,29.87,29.63,43.52
T2M_MAX,1984,25.0,90.625,27.24,33.01,40.31,43.38,39.15,37.02,32.14,32.31,32.08,31.71,29.68,29.22,43.38
T2M_MAX,1984,25.0,91.25,26.21,32.02,39.23,42.09,37.6,36.42,32.94,34.22,31.87,31.91,28.85,27.76,42.09
T2M_MAX,1984,25.0,91.875,24.52,31.04,38.08,40.85,36.49,37.05,33.55,34.96,32.23,32.75,29.51,28.27,40.85
T2M_MAX,1984,25.0,92.5,25.93,32.06,37.65,39.16,35.97,37.71,33.35,35.64,32.73,33.42,28.76,28.41,39.16
T2M_MAX,1984,25.0,93.125,25.21,31.12,35.66,37.26,36.32,36.93,32.98,36.57,33.44,34.18,29.63,28.48,37.26
T2M_MAX,1984,25.0,93.75,22.82,28.19,32.16,34.43,32.09,31.35,29.83,31.11,29.9,29.78,26.27,25.12,34.43
T2M_MAX,1984,25.0,94.375,21.49,27.21,32.43,33.98,32.56,31.29,30.33,31.07,29.87,28.24,25.12,23.45,33.98
T2M_MAX,1984,25.0,95.0,26.63,32.72,38.85,39.73,39.9,36.98,37.35,37.18,35.82,33.86,30.33,28.3,39.9
T2M_MAX,1984,25.0,95.625,28.22,33.07,39.04,40.39,40.53,37.77,38.12,39.4,36.8,36.08,32.44,29.39,40.53
T2M_MAX,1984,25.0,96.25,26.97,31.62,37.63,39.17,39.76,36.78,36.62,37.56,35.43,35.84,31.8,28.33,39.76
T2M_MAX,1984,25.0,96.875,27.58,32.17,38.37,39.89,40.9,37.81,35.57,37.92,35.83,36.2,32.65,29.72,40.9
T2M_MAX,1984,25.0,97.5,24.76,29.48,34.93,35.81,37.3,34.84,31.57,34.4,31.55,31.71,28.11,25.68,37.3
T2M_MAX,1984,25.5,88.75,27.65,32.3,41.2,44.43,41.93,40.35,34.26,34.36,31.99,32.61,29.65,29.41,44.43
T2M_MAX,1984,25.5,89.375,26.75,32.01,40.09,43.66,40.29,39.05,33.47,34.17,32.04,32.93,29.43,29.17,43.66
T2M_MAX,1984,25.5,90.0,26.26,30.75,39.01,42.1,38.64,39.69,34.06,34.21,32.9,33.66,29.34,28.56,42.1
T2M_MAX,1984,25.5,90.625,25.97,30.33,37.76,40.3,37.59,39.77,34.37,34.03,33.57,36.2,28.43,28.7,40.3
T2M_MAX,1984,25.5,91.25,20.13,23.27,28.47,31.93,29.81,31.32,28.3,29.0,27.19,27.82,23.74,22.22,31.93
T2M_MAX,1984,25.5,91.875,18.28,22.74,26.36,29.09,28.53,29.89,26.79,27.35,27.46,26.42,22.63,20.41,29.89
T2M_MAX,1984,25.5,92.5,20.9,26.45,30.36,31.8,31.16,33.54,30.26,30.5,29.79,28.95,25.59,22.75,33.54
T2M_MAX,1984,25.5,93.125,23.72,29.4,34.58,35.9,34.02,38.15,32.1,33.25,32.01,32.29,28.94,26.99,38.15
T2M_MAX,1984,25.5,93.75,22.4,27.48,32.35,34.1,32.75,34.91,30.92,33.45,30.4,31.17,26.78,25.17,34.91
T2M_MAX,1984,25.5,94.375,19.55,24.78,29.72,31.56,30.73,30.49,29.83,30.64,28.17,27.3,23.11,21.16,31.56
T2M_MAX,1984,25.5,95.0,21.27,27.22,33.16,33.84,34.25,31.22,32.32,32.42,29.9,30.63,26.0,22.35,34.25
T2M_MAX,1984,25.5,95.625,27.98,33.5,39.79,40.87,41.23,38.91,37.69,40.16,36.1,34.61,31.12,29.25,41.23
T2M_MAX,1984,25.5,96.25,26.66,31.8,37.72,39.07,40.21,37.29,35.69,38.76,35.09,34.24,30.77,28.3,40.21
T2M_MAX,1984,25.5,96.875,26.58,31.68,37.73,38.89,40.22,37.63,34.67,38.12,34.77,34.9,31.41,28.69,40.22
T2M_MAX,1984,25.5,97.5,25.12,29.69,35.6,36.26,37.95,35.35,32.02,34.56,31.09,31.33,28.31,27.07,37.95
T2M_MAX,1984,26.0,88.75,26.85,31.51,40.25,43.85,41.1,40.63,33.37,34.4,31.83,32.41,28.54,28.15,43.85
T2M_MAX,1984,26.0,89.375,25.98,31.59,39.61,43.32,40.03,39.74,33.34,34.36,31.92,32.38,28.8,27.57,43.32
T2M_MAX,1984,26.0,90.0,24.45,30.11,38.47,41.79,38.28,39.71,33.61,34.58,32.09,32.49,27.76,25.25,41.79
T2M_MAX,1984,26.0,90.625,23.2,28.85,38.06,40.76,37.14,40.07,34.51,36.04,33.0,33.22,28.27,25.11,40.76
T2M_MAX,1984,26.0,91.25,23.7,29.46,37.63,40.32,36.79,40.1,35.41,35.99,33.61,33.45,29.09,25.85,40.32
T2M_MAX,1984,26.0,91.875,23.79,28.6,36.19,37.73,36.66,38.3,34.75,35.52,33.04,35.94,28.85,25.99,38.3
T2M_MAX,1984,26.0,92.5,24.02,29.63,37.02,37.53,37.27,39.06,34.57,34.97,32.57,32.06,28.44,25.98,39.06
T2M_MAX,1984,26.0,93.125,25.07,31.0,38.6,38.76,37.87,41.02,34.59,35.15,33.51,34.09,30.44,28.61,41.02
T2M_MAX,1984,26.0,93.75,24.75,29.55,36.4,37.0,36.11,39.56,34.71,35.34,32.43,33.16,28.95,26.91,39.56
T2M_MAX,1984,26.0,94.375,21.74,26.56,32.22,33.81,32.7,34.14,31.89,33.1,30.15,30.02,25.18,22.73,34.14
T2M_MAX,1984,26.0,95.0,17.88,22.44,27.74,28.54,29.22,29.26,28.94,29.65,28.24,26.02,21.76,18.77,29.65
T2M_MAX,1984,26.0,95.625,24.38,30.99,37.1,37.39,37.0,34.21,32.78,34.53,30.64,29.76,25.86,23.49,37.39
