-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M_MIN,1984,25.0,88.75,7.24,7.48,11.62,20.29,23.03,25.01,24.59,25.24,20.38,18.24,12.29,6.1,6.1
T2M_MIN,1984,25.0,89.375,8.36,8.84,12.18,21.96,23.34,24.88,24.83,25.42,22.3,19.19,13.84,8.06,8.06
T2M_MIN,1984,25.0,90.0,7.82,9.27,12.82,22.44,23.1,23.59,24.45,24.85,22.14,18.82,13.56,7.1,7.1
T2M_MIN,1984,25.0,90.625,7.82,10.32,12.9,21.9,23.39,22.76,23.87,24.16,20.89,18.59,13.87,7.52,7.52
T2M_MIN,1984,25.0,91.25,8.0,10.66,12.49,21.62,22.81,23.5,23.89,23.86,21.0,19.19,14.25,8.23,8.0
T2M_MIN,1984,25.0,91.875,7.31,9.11,11.84,20.29,22.28,23.3,23.67,23.61,20.84,18.23,14.0,8.36,7.31
T2M_MIN,1984,25.0,92.5,5.8,6.65,10.68,18.21,21.15,21.7,22.74,22.73,19.37,16.28,12.01,6.44,5.8
T2M_MIN,1984,25.0,93.125,4.67,5.98,11.27,18.07,19.65,20.84,20.97,21.45,18.68,16.02,10.68,5.27,4.67
T2M_MIN,1984,25.0,93.75,3.58,6.31,9.88,15.27,16.98,17.39,18.14,18.92,16.64,14.54,9.23,5.33,3.58
T2M_MIN,1984,25.0,94.375,2.22,3.53,6.31,13.65,15.27,15.41,16.8,17.36,15.17,13.63,8.43,4.05,2.22
T2M_MIN,1984,25.0,95.0,5.15,7.0,9.44,17.96,19.4,19.65,20.85,21.9,19.32,17.47,12.28,7.3,5.15
T2M_MIN,1984,25.0,95.625,6.04,7.27,10.67,19.03,19.99,20.1,22.61,22.92,20.84,16.6,11.7,7.49,6.04
T2M_MIN,1984,25.0,96.25,6.16,6.85,10.82,19.7,20.69,19.5,22.63,23.11,20.12,16.12,11.2,6.55,6.16
T2M_MIN,1984,25.0,96.875,6.8,8.5,12.42,20.44,21.33,20.39,22.66,23.19,20.59,16.49,12.57,8.22,6.8
T2M_MIN,1984,25.0,97.5,5.06,6.37,10.03,18.0,18.52,17.88,19.86,20.67,18.2,12.82,10.59,6.63,5.06
T2M_MIN,1984,25.5,88.75,6.77,6.97,11.01,21.23,22.67,24.25,24.59,25.14,20.5,18.18,12.59,7.41,6.77
T2M_MIN,1984,25.5,89.375,8.22,8.88,11.78,21.53,22.84,24.29,24.86,25.32,21.98,18.94,13.53,8.67,8.22
T2M_MIN,1984,25.5,90.0,7.06,7.2,11.45,19.25,21.88,22.29,23.86,24.16,20.89,17.68,12.59,7.37,7.06
T2M_MIN,1984,25.5,90.625,6.16,6.58,11.65,17.01,20.99,21.1,22.64,22.87,18.39,15.69,11.57,7.34,6.16
T2M_MIN,1984,25.5,91.25,2.22,4.57,8.65,13.26,16.59,19.05,19.06,18.94,14.65,11.91,7.54,4.77,2.22
T2M_MIN,1984,25.5,91.875,0.73,3.27,6.18,11.82,14.48,17.02,17.76,18.05,13.13,11.69,5.8,3.3,0.73
T2M_MIN,1984,25.5,92.5,2.42,2.61,6.66,14.41,16.93,18.75,20.08,19.84,15.57,12.46,7.91,3.03,2.42
T2M_MIN,1984,25.5,93.125,4.93,6.14,8.97,17.79,19.34,20.83,21.14,21.25,18.33,15.81,10.72,5.89,4.93
T2M_MIN,1984,25.5,93.75,3.15,6.07,8.81,15.95,17.25,17.39,18.5,18.83,16.48,13.63,8.53,4.86,3.15
T2M_MIN,1984,25.5,94.375,1.04,3.24,5.64,12.11,14.3,14.3,15.86,16.65,14.5,12.37,6.53,3.35,1.04
T2M_MIN,1984,25.5,95.0,2.53,4.57,6.87,13.85,16.35,16.83,17.52,19.1,16.28,14.03,9.03,5.79,2.53
T2M_MIN,1984,25.5,95.625,6.99,8.17,10.56,19.62,19.99,20.56,23.0,23.5,20.87,17.69,12.64,8.91,6.99
T2M_MIN,1984,25.5,96.25,5.01,5.75,9.07,18.23,19.02,19.97,22.24,22.36,20.05,15.3,10.13,6.24,5.01
T2M_MIN,1984,25.5,96.875,5.89,6.83,11.22,19.73,20.63,20.66,22.07,22.91,20.4,15.75,11.52,7.9,5.89
T2M_MIN,1984,25.5,97.5,5.71,7.65,10.68,18.14,19.05,19.34,20.58,21.03,18.79,13.29,10.81,7.59,5.71
T2M_MIN,1984,26.0,88.75,6.14,6.8,10.83,21.01,21.56,23.84,24.51,25.03,20.73,17.04,12.3,7.09,6.14
T2M_MIN,1984,26.0,89.375,6.79,7.57,11.53,20.62,21.28,23.82,24.86,25.11,21.23,16.81,12.79,7.61,6.79
T2M_MIN,1984,26.0,90.0,7.04,7.51,12.31,19.7,21.38,23.63,24.89,25.05,21.34,17.42,12.69,7.92,7.04
T2M_MIN,1984,26.0,90.625,6.94,6.91,12.31,19.43,20.68,23.3,24.54,24.57,20.78,17.38,12.3,7.88,6.91
T2M_MIN,1984,26.0,91.25,7.14,7.8,12.32,19.59,21.68,23.99,24.64,24.69,20.75,17.74,12.01,8.67,7.14
T2M_MIN,1984,26.0,91.875,5.3,4.98,8.79,15.93,19.86,22.35,22.61,22.45,19.01,15.86,10.78,5.96,4.98
T2M_MIN,1984,26.0,92.5,4.45,5.42,9.23,16.13,20.03,22.27,22.39,22.51,19.86,16.41,10.79,5.93,4.45
T2M_MIN,1984,26.0,93.125,6.12,8.05,11.53,18.51,21.15,23.19,22.74,23.29,20.46,17.84,12.12,8.39,6.12
T2M_MIN,1984,26.0,93.75,4.29,7.11,9.29,16.59,19.63,20.41,20.79,21.38,18.6,16.0,10.55,6.57,4.29
T2M_MIN,1984,26.0,94.375,2.65,4.74,7.99,14.53,16.5,17.29,17.86,18.52,16.6,13.73,7.81,4.32,2.65
T2M_MIN,1984,26.0,95.0,0.02,2.26,5.02,11.35,13.34,13.07,15.42,16.45,14.34,11.65,6.98,2.62,0.02
T2M_MIN,1984,26.0,95.625,5.62,7.21,11.25,18.09,18.19,19.78,22.12,21.96,19.89,16.19,10.82,7.75,5.62
T2M_MIN,1984,26.0,96.25,5.08,6.09,8.77,16.95,18.11,19.23,21.56,21.49,19.09,14.71,9.31,7.02,5.08
T2M_MIN,1984,26.0,96.875,4.21,5.7,9.83,16.66,18.24,19.7,20.78,21.65,18.14,13.5,8.39,5.85,4.21
T2M_MIN,1984,26.0,97.5,5.25,6.41,10.29,17.03,18.22,19.17,19.67,20.86,17.89,13.12,9.78,6.27,5.25
T2M_MIN,1984,26.5,88.75,6.7,7.94,11.86,21.12,20.57,23.94,24.11,24.44,20.84,17.41,13.08,8.07,6.7
T2M_MIN,1984,26.5,89.375,6.83,7.96,12.47,20.81,19.82,23.77,23.69,24.08,20.59,15.98,13.23,8.14,6.83
T2M_MIN,1984,26.5,90.0,6.5,7.69,12.22,19.68,20.23,23.86,23.91,24.25,20.15,15.83,12.14,7.92,6.5
T2M_MIN,1984,26.5,90.625,6.66,7.9,12.27,19.66,20.59,23.31,24.53,24.77,20.71,17.06,12.93,8.16,6.66
T2M_MIN,1984,26.5,91.25,6.65,7.7,12.28,19.73,21.46,23.25,24.49,24.84,20.83,16.71,12.83,7.8,6.65
T2M_MIN,1984,26.5,91.875,6.58,7.44,11.63,19.22,21.25,23.33,24.29,24.38,21.06,16.94,11.96,7.76,6.58
T2M_MIN,1984,26.5,92.5,5.96,8.03,12.17,19.73,21.42,22.94,24.39,24.37,20.76,17.11,12.16,7.61,5.96
T2M_MIN,1984,26.5,93.125,4.97,7.5,9.95,18.07,20.31,22.41,23.21,23.54,19.64,16.43,10.72,7.31,4.97
T2M_MIN,1984,26.5,93.75,5.67,8.19,11.21,18.44,21.1,22.23,22.21,22.99,20.1,17.66,12.08,8.93,5.67
T2M_MIN,1984,26.5,94.375,4.97,7.96,10.36,17.06,20.12,20.84,21.08,21.51,19.16,16.58,10.73,7.5,4.97
T2M_MIN,1984,26.5,95.0,2.66,5.05,8.49,13.36,15.47,16.72,17.97,18.57,16.62,13.84,7.98,4.67,2.66
T2M_MIN,1984,26.5,95.625,3.97,6.15,9.76,15.32,16.3,15.46,18.61,18.9,17.63,13.84,9.53,6.45,3.97
T2M_MIN,1984,26.5,96.25,5.48,6.64,10.25,17.52,17.25,20.06,21.87,21.62,19.31,15.19,10.42,7.23,5.48
T2M_MIN,1984,26.5,96.875,5.06,6.61,10.53,16.95,17.56,20.96,20.92,21.52,18.95,14.31,9.9,6.55,5.06
T2M_MIN,1984,26.5,97.5,3.46,4.4,8.05,15.69,16.71,18.58,19.39,19.68,17.14,12.14,8.01,5.08,3.46
T2M_MIN,1984,27.0,88.75,2.84,5.29,9.26,12.96,14.72,18.89,18.86,18.96,16.67,13.05,8.94,5.44,2.84
T2M_MIN,1984,27.0,89.375,-0.51,0.56,4.71,7.38,10.04,16.08,15.64,15.43,14.0,8.92,4.58,1.78,-0.51
T2M_MIN,1984,27.0,90.0,0.04,2.01,6.06,6.97,11.3,16.86,16.65,16.71,13.26,10.23,6.16,2.49,0.04
T2M_MIN,1984,27.0,90.625,2.07,4.3,6.95,8.14,11.81,18.2,17.86,18.18,14.2,12.79,8.74,5.54,2.07
T2M_MIN,1984,27.0,91.25,3.99,5.84,8.41,12.54,14.29,18.99,18.17,18.43,15.93,11.79,8.78,4.39,3.99
T2M_MIN,1984,27.0,91.875,2.51,2.0,5.91,9.0,10.96,16.37,16.77,17.14,14.96,12.12,7.54,5.06,2.0
