-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
RH2M,1984,25.0,88.75,41.91,31.68,20.22,34.01,59.75,79.11,79.93,79.0,83.04,75.63,64.47,49.79,58.28
RH2M,1984,25.0,89.375,46.52,35.43,23.96,38.38,66.14,81.83,82.68,81.56,82.95,78.24,68.41,54.34,61.78
RH2M,1984,25.0,90.0,48.68,37.3,25.6,41.59,70.49,83.81,85.39,84.69,84.59,80.55,66.83,54.34,63.74
RH2M,1984,25.0,90.625,48.35,36.75,28.04,44.92,74.38,85.48,87.69,87.85,86.54,82.3,67.19,54.72,65.45
RH2M,1984,25.0,91.25,55.8,41.21,33.36,49.78,77.07,84.89,87.33,87.57,86.48,81.82,69.19,61.73,68.12
RH2M,1984,25.0,91.875,63.7,50.09,36.0,50.76,76.51,83.77,86.66,86.12,86.76,82.76,70.41,67.07,70.13
RH2M,1984,25.0,92.5,62.98,51.28,36.51,53.87,75.58,81.91,85.84,84.8,86.2,83.46,71.76,64.69,69.97
RH2M,1984,25.0,93.125,61.23,49.35,37.8,52.64,71.23,79.78,83.96,81.97,83.98,81.7,67.37,59.47,67.6
RH2M,1984,25.0,93.75,57.84,46.63,36.28,52.34,71.16,82.07,85.8,83.12,84.07,82.0,60.25,53.66,66.34
RH2M,1984,25.0,94.375,59.27,48.92,37.45,51.03,67.58,82.3,82.62,81.18,81.06,82.14,61.48,54.33,65.84
RH2M,1984,25.0,95.0,54.98,46.79,33.22,42.37,58.37,78.04,75.39,75.77,76.55,78.7,59.26,54.2,61.18
RH2M,1984,25.0,95.625,54.7,44.82,29.09,42.31,59.19,78.77,72.13,74.08,76.14,76.99,61.28,56.11,60.51
RH2M,1984,25.0,96.25,56.57,47.75,30.83,41.82,56.24,78.75,73.43,73.83,77.47,74.41,61.27,59.79,61.04
RH2M,1984,25.0,96.875,55.24,44.88,28.15,40.97,54.22,78.68,77.79,74.67,77.81,73.63,57.38,55.99,59.99
RH2M,1984,25.0,97.5,59.49,46.48,30.94,44.96,58.27,79.94,82.49,79.11,80.44,78.88,64.26,61.11,63.92
RH2M,1984,25.5,88.75,42.98,33.99,20.0,30.63,60.32,79.86,83.26,83.32,85.61,78.53,68.5,54.72,60.22
RH2M,1984,25.5,89.375,48.54,37.46,23.36,35.47,66.08,81.06,84.2,83.92,84.91,79.25,71.59,58.81,62.97
