-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/1984 through 12/31/2025 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,24.5,90.0,18.0,20.58,27.85,32.52,30.15,28.89,28.74,28.73,27.19,26.3,22.01,18.99,25.84
T2M,1984,24.5,90.625,17.94,20.63,27.67,32.22,29.34,28.54,28.33,28.07,26.78,25.98,21.85,18.75,25.51
T2M,1984,24.5,91.25,17.92,20.72,27.29,31.69,28.7,28.51,28.15,27.88,26.68,26.09,21.85,18.76,25.36
T2M,1984,24.5,91.875,16.82,20.11,26.47,31.31,28.43,28.45,28.08,27.92,26.49,25.93,21.04,17.84,24.91
T2M,1984,24.5,92.5,16.16,19.5,25.38,30.14,28.46,28.45,27.98,28.1,26.44,25.88,20.62,17.49,24.56
T2M,1984,24.5,93.125,15.22,18.47,23.91,28.02,26.89,26.89,26.07,26.74,24.83,24.17,20.33,16.93,23.21
T2M,1984,24.5,93.75,12.98,16.24,21.31,25.27,24.43,24.43,23.71,24.44,22.7,21.94,18.42,14.96,20.91
T2M,1984,24.5,94.375,14.66,18.13,23.65,27.86,27.12,26.32,26.23,26.76,25.06,23.83,20.04,16.62,23.03
T2M,1984,24.5,95.0,16.74,20.25,25.59,30.74,30.01,28.26,28.81,28.79,27.51,25.83,21.93,18.67,25.27
T2M,1984,24.5,95.625,16.84,20.53,25.28,30.1,29.56,27.46,28.53,28.26,26.99,25.64,21.27,18.95,24.96
T2M,1984,24.5,96.25,16.77,20.6,26.09,30.58,30.1,27.46,28.49,28.22,26.74,25.97,21.98,19.16,25.19
T2M,1984,25.0,90.0,17.38,20.0,27.42,32.09,29.72,28.73,28.48,28.43,26.88,25.95,21.73,18.47,25.45
T2M,1984,25.0,90.625,17.4,20.15,26.82,31.28,28.72,28.19,27.87,27.76,26.3,25.54,21.51,18.33,25.0
T2M,1984,25.0,91.25,17.01,19.99,26.17,30.3,27.95,28.09,27.72,27.73,26.2,25.7,21.45,17.93,24.69
T2M,1984,25.0,91.875,16.06,18.94,25.38,29.7,27.62,27.97,27.54,27.77,25.99,25.43,21.16,17.32,24.25
T2M,1984,25.0,92.5,14.99,18.18,24.5,28.4,26.86,27.45,26.89,27.23,25.29,24.58,19.8,16.5,23.4
T2M,1984,25.0,93.125,13.97,17.38,23.11,27.01,26.2,26.72,25.8,26.51,24.49,23.8,19.37,15.92,22.53
T2M,1984,25.0,93.75,12.04,15.53,20.32,24.06,23.49,24.12,22.98,23.89,21.96,21.29,17.75,14.28,20.15
T2M,1984,25.0,94.375,11.05,14.48,18.83,22.9,22.74,23.33,22.69,23.4,21.51,20.39,16.47,13.25,19.26
T2M,1984,25.0,95.0,15.37,18.87,23.8,28.42,28.17,27.43,27.59,27.86,25.88,24.44,20.52,17.37,23.82
T2M,1984,25.0,95.625,16.33,20.07,25.1,29.58,29.23,27.9,28.72,28.87,26.74,25.39,21.01,18.35,24.78
T2M,1984,25.0,96.25,16.01,19.64,25.17,29.61,29.45,27.48,28.15,28.5,26.16,25.31,20.64,17.83,24.51
T2M,1984,25.5,90.0,15.88,18.63,25.95,30.56,28.7,28.38,27.83,27.94,26.18,25.1,20.23,16.89,24.37
T2M,1984,25.5,90.625,15.01,17.78,24.61,28.37,26.77,27.08,26.45,26.73,24.91,24.08,19.47,16.43,23.15
T2M,1984,25.5,91.25,10.67,13.27,18.49,21.9,21.84,23.1,22.87,22.95,20.98,19.96,15.32,12.23,18.64
T2M,1984,25.5,91.875,9.06,11.7,16.38,20.12,20.43,21.94,21.82,21.85,20.0,18.95,14.1,10.93,17.28
T2M,1984,25.5,92.5,10.9,13.72,18.65,22.88,22.88,24.19,23.89,24.06,22.22,21.2,15.67,12.72,19.43
T2M,1984,25.5,93.125,13.31,16.52,22.04,25.93,25.43,26.45,25.42,26.06,24.0,23.41,18.82,15.35,21.9
T2M,1984,25.5,93.75,11.77,15.23,20.01,23.65,23.57,24.83,23.4,24.44,22.18,21.39,17.31,13.91,20.15
T2M,1984,25.5,94.375,9.44,12.77,16.72,20.58,21.02,22.46,21.72,22.42,20.25,19.06,14.6,11.51,17.72
T2M,1984,25.5,95.0,11.47,14.9,19.24,23.12,23.51,23.93,24.11,24.39,22.06,20.87,16.44,13.34,19.79
T2M,1984,25.5,95.625,16.47,19.97,25.34,29.37,29.19,28.55,28.98,29.4,26.81,25.22,20.64,18.09,24.85
T2M,1984,25.5,96.25,14.9,18.56,23.89,28.14,28.33,27.39,27.49,28.0,25.66,24.3,19.25,16.52,23.55
T2M,1984,26.0,90.0,15.39,18.27,25.76,30.74,29.25,29.26,28.32,28.68,26.61,25.28,19.83,16.13,24.47
T2M,1984,26.0,90.625,14.62,17.44,24.84,29.65,28.57,29.14,28.07,28.57,26.43,25.2,19.55,15.89,24.01
T2M,1984,26.0,91.25,14.81,17.71,24.91,29.33,28.67,29.6,28.6,29.07,26.71,25.19,19.87,16.26,24.24
T2M,1984,26.0,91.875,13.21,15.7,22.67,27.15,26.93,28.05,27.2,27.74,25.37,23.83,18.32,14.82,22.6
T2M,1984,26.0,92.5,13.36,16.14,22.94,27.36,27.23,28.08,27.22,27.65,25.47,24.16,18.6,15.32,22.81
